wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
5.864919354838709751e+02,3.335664335664335622e-01,6.810887096774193878e+02,6.969696969696970168e-02,7.311693548387097508e+02,1.095571095571096221e-02,4.650000000000000000e+02,1.416866547044684857e-02,6.192135221107454568e-02,5.373667300043222239e-01
5.883467741935484128e+02,3.820512820512821373e-01,6.885080645161290249e+02,8.834498834498835662e-02,7.404435483870968255e+02,1.282051282051283048e-02,4.675000000000000000e+02,1.490403282516566778e-02,8.598706361072271098e-02,5.371045923035362435e-01
5.911290322580645125e+02,4.165501165501166447e-01,6.973185483870968255e+02,1.060606060606060774e-01,7.552822580645160997e+02,6.293706293706305410e-03,4.700000000000000000e+02,1.472049079443017716e-02,1.347237216064244014e-01,5.323498246731617201e-01
5.957661290322580498e+02,4.324009324009324695e-01,7.070564516129031745e+02,1.200466200466200617e-01,7.650201612903226760e+02,9.090909090909093937e-03,4.725000000000000000e+02,1.325480827281249815e-02,1.926521763427636869e-01,5.204952703695054916e-01
5.994758064516129252e+02,4.435897435897436791e-01,7.158669354838709751e+02,1.293706293706294030e-01,7.766129032258065763e+02,1.655011655011655314e-02,4.750000000000000000e+02,1.119467609753968182e-02,2.406713242125565755e-01,5.054788104420603334e-01
6.078225806451612243e+02,4.454545454545455474e-01,7.218951612903226760e+02,1.275058275058275348e-01,7.821774193548387757e+02,3.240093240093241955e-02,4.775000000000000000e+02,9.517396636570687671e-03,2.858309275696480634e-01,4.924396678823423912e-01
6.115322580645160997e+02,4.324009324009324695e-01,7.288508064516129252e+02,1.181818181818181934e-01,7.886693548387097508e+02,5.104895104895107449e-02,4.800000000000000000e+02,8.865382547009014250e-03,3.389816366362252142e-01,4.808192103220426672e-01
6.152419354838709751e+02,4.174825174825175234e-01,7.371975806451612243e+02,1.125874125874126164e-01,7.960887096774192742e+02,7.529137529137530649e-02,4.825000000000000000e+02,9.393892919262349442e-03,3.955105088584532913e-01,4.690171315691114007e-01
6.161693548387097508e+02,4.053613053613054351e-01,7.469354838709678006e+02,1.107226107226107481e-01,8.044354838709678006e+02,9.953379953379953848e-02,4.850000000000000000e+02,1.074574925057595817e-02,4.444526379240879566e-01,4.554360559671446484e-01
6.221975806451612243e+02,3.932400932400933469e-01,7.562096774193548754e+02,1.135198135198135505e-01,8.100000000000000000e+02,1.172494172494172593e-01,4.875000000000000000e+02,1.180534618500604649e-02,4.821637745370305761e-01,4.390296165891326430e-01
6.291532258064517009e+02,3.839160839160840055e-01,7.673387096774192742e+02,1.219114219114219300e-01,8.211290322580646261e+02,1.200466200466200617e-01,4.900000000000000000e+02,1.150108723997816246e-02,5.109530071106582749e-01,4.199479840790181218e-01
6.356451612903225623e+02,3.745920745920746642e-01,7.752217741935482991e+02,1.293706293706294030e-01,8.336491935483870748e+02,1.153846153846153910e-01,4.925000000000000000e+02,9.817444234325390512e-03,5.333005789876404945e-01,3.984982377781036145e-01
6.398185483870968255e+02,3.652680652680653228e-01,7.872782258064517009e+02,1.340326340326340460e-01,8.419959677419356012e+02,1.079254079254079457e-01,4.950000000000000000e+02,7.321282525127527537e-03,5.513496917666751429e-01,3.748497741863566213e-01
6.467741935483870748e+02,3.578088578088578497e-01,7.928427419354839003e+02,1.303030303030303372e-01,8.489516129032258505e+02,9.300699300699302730e-02,4.975000000000000000e+02,4.685388820013050917e-03,5.661047721777002772e-01,3.487067959149269258e-01
6.523387096774193878e+02,3.456876456876457615e-01,8.002620967741936511e+02,1.284382284382284689e-01,8.577620967741936511e+02,9.207459207459209316e-02,5.000000000000000000e+02,2.727246850075868215e-03,5.783299808387425411e-01,3.196758441997640809e-01
