wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.850000000000000000e+02,3.662709599999999788e-01,4.624002099999999782e-01,1.720048000000000063e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.875000000000000000e+02,4.024577500000000030e-01,4.426092999999999833e-01,1.670332999999999887e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.900000000000000000e+02,4.323883000000000032e-01,4.216366500000000017e-01,1.604235999999999857e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.925000000000000000e+02,4.531368800000000197e-01,3.968339900000000253e-01,1.525675999999999942e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.950000000000000000e+02,4.625445499999999988e-01,3.724821099999999774e-01,1.438575999999999917e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.975000000000000000e+02,4.653054300000000199e-01,3.533854499999999899e-01,1.346855999999999921e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.000000000000000000e+02,4.675126900000000085e-01,3.372703799999999807e-01,1.254438000000000081e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.025000000000000000e+02,4.692564000000000179e-01,3.156272099999999914e-01,1.165241000000000020e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.050000000000000000e+02,4.696089299999999800e-01,2.788878399999999980e-01,1.083187000000000039e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.075000000000000000e+02,4.681129399999999774e-01,2.455098000000000003e-01,1.012195999999999929e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.100000000000000000e+02,4.652875499999999942e-01,2.321073200000000059e-01,9.561899999999999913e-03
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.125000000000000000e+02,4.617734499999999742e-01,2.289944999999999897e-01,9.190900000000000111e-03
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.150000000000000000e+02,4.582059399999999783e-01,1.891433899999999946e-01,9.046830000000000496e-03
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.175000000000000000e+02,4.549444599999999950e-01,1.582836400000000032e-01,9.139110000000000636e-03
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.200000000000000000e+02,4.519446100000000244e-01,1.578066499999999928e-01,9.449890000000000720e-03
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.225000000000000000e+02,4.491299000000000263e-01,1.642826199999999903e-01,9.960220000000000531e-03
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.250000000000000000e+02,4.464238200000000267e-01,1.610537400000000008e-01,1.065114999999999985e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.275000000000000000e+02,4.437498999999999749e-01,1.499545800000000040e-01,1.150371000000000032e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.300000000000000000e+02,4.410316200000000131e-01,1.359472599999999864e-01,1.249895999999999993e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.325000000000000000e+02,4.381765699999999875e-01,1.239142300000000002e-01,1.361794000000000025e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.350000000000000000e+02,4.348347200000000079e-01,1.159675700000000059e-01,1.484170999999999928e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.375000000000000000e+02,4.304473799999999906e-01,1.107990100000000033e-01,1.615130000000000038e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.400000000000000000e+02,4.245932499999999776e-01,1.068887599999999993e-01,1.752777000000000154e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.425000000000000000e+02,4.177882800000000119e-01,1.027682899999999983e-01,1.895437999999999984e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.450000000000000000e+02,4.109133899999999895e-01,9.791747000000000645e-02,2.042245000000000171e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.475000000000000000e+02,4.044484199999999752e-01,9.265202999999999633e-02,2.192513000000000101e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.500000000000000000e+02,3.983767799999999859e-01,8.731632000000000282e-02,2.345558999999999839e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.525000000000000000e+02,3.926511899999999833e-01,8.225470000000000004e-02,2.500696999999999989e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.550000000000000000e+02,3.872243599999999897e-01,7.779911000000000465e-02,2.657241999999999937e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.575000000000000000e+02,3.820435300000000201e-01,7.415752000000000455e-02,2.814501000000000155e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.600000000000000000e+02,3.770265400000000211e-01,7.146668999999999938e-02,2.970920000000000158e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.625000000000000000e+02,3.720814399999999855e-01,6.986251000000000266e-02,3.123298999999999867e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.650000000000000000e+02,3.671163000000000065e-01,6.948087999999999487e-02,3.268258999999999748e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.675000000000000000e+02,3.620391499999999763e-01,7.045771000000000672e-02,3.402419999999999750e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.700000000000000000e+02,3.567731100000000044e-01,7.285951999999999706e-02,3.522398999999999669e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.725000000000000000e+02,3.513219100000000150e-01,7.638137000000000398e-02,3.624817000000000317e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.750000000000000000e+02,3.457161999999999735e-01,8.061620999999999371e-02,3.706294000000000255e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.775000000000000000e+02,3.399866300000000119e-01,8.531428000000000622e-02,3.764242000000000282e-02
