wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
7.096774193548387757e+02,2.982017982017981517e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,8.333333333333334849e+02,1.896436896436896336e-01,5.225000000000000000e+02,2.319067000000000003e-02,3.692239299999999780e-01,1.080153900000000028e-01
7.139784946236560472e+02,2.882117882117881669e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,8.435483870967742632e+02,1.796536796536796488e-01,5.250000000000000000e+02,2.727382000000000070e-02,3.819758300000000162e-01,1.024240299999999992e-01
7.182795698924732051e+02,2.782217782217781821e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,8.489247311827958811e+02,1.669996669996670069e-01,5.275000000000000000e+02,2.890113999999999878e-02,3.959001600000000010e-01,9.556557999999999720e-02
7.220430107526882466e+02,2.748917748917748538e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,8.575268817204301968e+02,1.536796536796536938e-01,5.300000000000000000e+02,2.914167000000000146e-02,4.042936699999999939e-01,8.771376999999999646e-02
7.258064516129032882e+02,2.808857808857808669e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,8.688172043010754351e+02,1.496836496836496944e-01,5.325000000000000000e+02,2.888566999999999871e-02,4.049937800000000254e-01,7.979476000000000624e-02
7.295698924731184434e+02,2.915417915417914951e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,8.752688172043011718e+02,1.490176490176490232e-01,5.350000000000000000e+02,2.812204999999999913e-02,4.019261399999999873e-01,7.271788999999999337e-02
7.344086021505377175e+02,3.028638028638028779e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,8.811827956989249060e+02,1.516816516816516802e-01,5.375000000000000000e+02,2.658338999999999841e-02,3.970607999999999915e-01,6.690007000000000592e-02
7.387096774193549891e+02,3.055278055278055627e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,8.935483870967743769e+02,1.383616383616383672e-01,5.400000000000000000e+02,2.421695999999999918e-02,3.916497199999999790e-01,6.219953000000000287e-02
7.446236559139786095e+02,2.988677988677989061e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,9.021505376344086926e+02,1.243756243756243829e-01,5.425000000000000000e+02,2.197937999999999975e-02,3.875955400000000162e-01,5.844428000000000123e-02
7.489247311827957674e+02,2.895437895437895648e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,9.107526881720431220e+02,1.110556110556110698e-01,5.450000000000000000e+02,2.112367000000000064e-02,3.869909400000000055e-01,5.545612999999999931e-02
