wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.600000000000000000e+02,1.057771413081668027e-01,3.393002111841936230e-01,6.039164521484219339e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.625000000000000000e+02,1.220281182951013926e-01,3.302075706458037496e-01,5.906586675097135614e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.650000000000000000e+02,1.391284144230798825e-01,3.204579985818640231e-01,5.801305865748902779e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.675000000000000000e+02,1.573999294962747098e-01,3.102199339878997653e-01,5.719832600406946077e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.700000000000000000e+02,1.771268438373649612e-01,2.995629809005642685e-01,5.661648242520576912e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.725000000000000000e+02,1.980992443159242944e-01,2.883355636668329947e-01,5.626236884282379697e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.750000000000000000e+02,2.197598899897386937e-01,2.763560761060123161e-01,5.613082617884945086e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.775000000000000000e+02,2.415443214254114623e-01,2.634446929106035729e-01,5.621669535520859573e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.800000000000000000e+02,2.628880791895460423e-01,2.496429322687397645e-01,5.651481729382709651e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.825000000000000000e+02,2.832267038487458199e-01,2.354253815906980074e-01,5.700689439653897767e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.850000000000000000e+02,3.020279327512835899e-01,2.213168328980984201e-01,5.760977682278677764e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.875000000000000000e+02,3.192174777033427446e-01,2.078420782125608990e-01,5.822033991550931709e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.900000000000000000e+02,3.350618181689719033e-01,1.954851190388792181e-01,5.873545344273117114e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.925000000000000000e+02,3.498355450043654225e-01,1.843517291133497382e-01,5.905198717247691492e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.950000000000000000e+02,3.636972389309637288e-01,1.743426435084548809e-01,5.906681087277106112e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.975000000000000000e+02,3.754319057142056493e-01,1.653565703025242917e-01,5.868336973890500574e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.000000000000000000e+02,3.836100618412319752e-01,1.572917576289666886e-01,5.793568198100525896e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.025000000000000000e+02,3.885196498254895880e-01,1.500289093938103058e-01,5.697779750128274118e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.050000000000000000e+02,3.908086507034030932e-01,1.434261315039377094e-01,5.596822868060854356e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.075000000000000000e+02,3.914049782875727024e-01,1.373400388204657208e-01,5.505323118232643975e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.100000000000000000e+02,3.912014367734984455e-01,1.316272462045111891e-01,5.427882399252238754e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.125000000000000000e+02,3.904882732898307118e-01,1.261444543094983328e-01,5.364202381851090884e-02
